date,precipitation_mm
2021-05-23,2.2
2021-05-24,0.4
2021-05-25,0.4
2021-05-26,0.5
2021-05-27,0.4
2021-05-28,0.6
2021-05-29,0.4
2021-05-30,4.0
2021-05-31,0.3
2021-06-01,0.5
2021-06-02,0.3
2021-06-03,5.0
2021-06-04,6.3
2021-06-05,1.0
2021-06-06,20.6
2021-06-07,2.2
2021-06-08,0.6
2021-06-09,0.2
2021-06-10,0.7
2021-06-11,0.3
2021-06-12,1.1
2021-06-13,0.2
2021-06-14,0.6
2021-06-15,0.7
2021-06-16,0.0
2021-06-17,4.5
2021-06-18,7.9
2021-06-19,20.0
2021-06-20,5.8
2021-06-21,8.5
2021-06-22,1.0
2021-06-23,0.3
2021-06-24,1.1
2021-06-25,1.8
2021-06-26,0.6
2021-06-27,0.4
2021-06-28,0.4
2021-06-29,1.5
2021-06-30,11.1
2021-07-01,0.8
2021-07-02,0.5
2021-07-03,0.4
2021-07-04,0.6
2021-07-05,0.1
2021-07-06,0.5
2021-07-07,1.7
2021-07-08,1.0
2021-07-09,0.7
2021-07-10,0.0
2021-07-11,2.1
2021-07-12,0.3
2021-07-13,6.8
2021-07-14,5.5
2021-07-15,23.6
2021-07-16,13.2
2021-07-17,0.0
2021-07-18,0.0
2021-07-19,0.0
2021-07-20,0.4
2021-07-21,0.4
2021-07-22,0.0
2021-07-23,0.0
2021-07-24,0.2
2021-07-25,0.0
2021-07-26,0.0
2021-07-27,0.0
2021-07-28,0.0
2021-07-29,0.5
2021-07-30,0.5
2021-07-31,0.1
2021-08-01,0.0
2021-08-02,1.3
2021-08-03,0.5
2021-08-04,0.2
2021-08-05,0.6
2021-08-06,7.1
2021-08-07,1.0
2021-08-08,0.9
2021-08-09,6.5
2021-08-10,7.7
2021-08-11,5.2
2021-08-12,3.2
2021-08-13,11.6
2021-08-14,12.9
2021-08-15,13.4
2021-08-16,1.4
2021-08-17,0.6
2021-08-18,2.5
2021-08-19,1.0
2021-08-20,8.3
2021-08-21,2.1
2021-08-22,5.4
2021-08-23,0.6
2021-08-24,0.0
2021-08-25,0.7
2021-08-26,0.5
2021-08-27,0.2
2021-08-28,0.1
2021-08-29,0.0
2021-08-30,0.6
2021-08-31,0.9
2021-09-01,3.6
2021-09-02,3.5
2021-09-03,5.8
2021-09-04,15.5
2021-09-05,6.0
2021-09-06,5.2
2021-09-07,7.8
2021-09-08,10.0
2021-09-09,11.3
2021-09-10,1.3
2021-09-11,4.8
2021-09-12,3.1
2021-09-13,2.8
2021-09-14,0.5
2021-09-15,2.8
2021-09-16,1.9
2021-09-17,5.5
2021-09-18,16.6
2021-09-19,0.7
2021-09-20,4.1
2021-09-21,1.2
2021-09-22,20.9
2021-09-23,1.0
2021-09-24,10.6
2021-09-25,5.3
2021-09-26,13.5
2021-09-27,8.5
2021-09-28,4.3
2021-09-29,0.1
2021-09-30,2.1
2021-10-01,0.3
2021-10-02,6.4
2021-10-03,3.0
2021-10-04,5.9
2021-10-05,2.5
2021-10-06,5.0
2021-10-07,0.4
2021-10-08,5.1
2021-10-09,6.9
2021-10-10,4.0
2021-10-11,6.3
2021-10-12,24.7
2021-10-13,3.9
2021-10-14,8.3
2021-10-15,10.8
2021-10-16,0.3
2021-10-17,0.5
2021-10-18,6.3
2021-10-19,3.6
2021-10-20,12.4
2021-10-21,7.2
2021-10-22,0.2
2021-10-23,0.3
2021-10-24,0.6
2021-10-25,0.1
2021-10-26,0.0
2021-10-27,2.0
2021-10-28,2.8
2021-10-29,2.7
2021-10-30,1.1
2021-10-31,1.9
2021-11-01,0.4
2021-11-02,6.4
2021-11-03,6.8
2021-11-04,1.1
2021-11-05,1.3
2021-11-06,6.6
2021-11-07,2.4
2021-11-08,0.5
2021-11-09,0.3
2021-11-10,0.9
2021-11-11,2.0
2021-11-12,0.3
2021-11-13,0.2
2021-11-14,0.2
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,4.1
2021-11-18,0.3
2021-11-19,0.1
2021-11-20,1.4
2021-11-21,1.8
2021-11-22,2.2
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.3
2021-11-26,11.8
2021-11-27,12.7
2021-11-28,0.7
2021-11-29,2.3
2021-11-30,9.1
2021-12-01,1.0
2021-12-02,1.9
2021-12-03,9.2
2021-12-04,4.1
2021-12-05,0.9
2021-12-06,1.0
2021-12-07,0.4
2021-12-08,1.4
2021-12-09,3.0
2021-12-10,5.3
2021-12-11,2.0
2021-12-12,0.3
2021-12-13,0.5
2021-12-14,2.8
2021-12-15,2.1
2021-12-16,0.1
2021-12-17,1.1
2021-12-18,0.5
2021-12-19,8.9
2021-12-20,8.8
2021-12-21,1.2
2021-12-22,4.6
2021-12-23,1.1
2021-12-24,17.0
2021-12-25,13.2
2021-12-26,22.5
2021-12-27,1.5
2021-12-28,0.2
2021-12-29,0.9
2021-12-30,8.3
2021-12-31,19.6
2022-01-01,4.9
2022-01-02,0.4
2022-01-03,0.4
2022-01-04,1.0
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,0.1
2022-01-08,0.0
2022-01-09,0.0
2022-01-10,1.0
2022-01-11,0.1
2022-01-12,0.0
2022-01-13,0.0
2022-01-14,0.2
2022-01-15,2.0
2022-01-16,3.7
2022-01-17,22.0
2022-01-18,0.4
2022-01-19,0.4
2022-01-20,0.5
2022-01-21,0.0
2022-01-22,0.0
2022-01-23,0.7
2022-01-24,0.2
2022-01-25,0.0
2022-01-26,0.3
2022-01-27,0.0
2022-01-28,0.0
2022-01-29,0.0
2022-01-30,1.8
2022-01-31,0.7
2022-02-01,1.0
2022-02-02,3.4
2022-02-03,0.3
2022-02-04,2.8
2022-02-05,1.5
2022-02-06,0.4
2022-02-07,0.0
2022-02-08,1.7
2022-02-09,1.1
2022-02-10,2.2
2022-02-11,0.5
2022-02-12,3.9
2022-02-13,1.0
2022-02-14,1.2
2022-02-15,0.4
2022-02-16,0.3
2022-02-17,0.3
2022-02-18,7.7
2022-02-19,1.2
2022-02-20,4.3
2022-02-21,0.9
2022-02-22,3.3
2022-02-23,0.1
2022-02-24,1.7
